Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
391,230,1683,243,995,1391,861,40,542,896,895,895,568,527,199,402,72,230
450,281,1882,278,1132,1679,980,64,575,1072,1080,1095,718,636,227,555,63,290
645,405,2836,385,1774,2624,1273,69,864,1605,1563,1697,1001,911,303,701,87,428
665,361,2928,350,1687,2627,1349,72,986,1605,1669,1863,1126,985,304,684,66,414
578,307,2925,350,1622,2664,1246,63,843,1537,1625,1884,982,1002,301,723,74,390
588,303,2942,389,1708,2292,1238,57,840,1494,1497,1639,874,924,284,823,79,361
617,277,2446,278,1445,2036,1108,59,742,1308,1277,1411,784,752,244,694,75,335
441,199,1574,232,1261,1348,881,51,559,919,789,949,636,509,191,866,96,235
489,303,1863,245,1261,1793,868,70,689,1043,1171,1191,663,730,255,796,88,298
695,356,2935,358,1770,2543,1320,84,900,1609,1542,1601,1009,889,401,847,92,424
622,410,3198,381,1857,2485,1329,69,191459,1564,1714,1693,859,976,391,910,175,445
683,334,2852,388,1852,2483,1231,70,498068,1542,1625,1781,921,896,365,941,120,428
606,370,2852,345,1745,2399,1267,76,919,1542,1664,1580,938,921,302,843,82,414
594,318,2308,325,1600,2016,1084,49,859,1336,1358,1281,741,756,254,736,84,313
480,266,1717,286,1313,1577,860,54,693,1044,1052,1108,754,582,280,730,116,233
471,282,1841,234,1391,1697,887,48,621,1238,1129,1156,805,778,281,641,106,318
617,372,2728,372,1948,2278,1274,61,893,1710,1794,1571,904,1051,315,866,136,399
631,392,3020,435,2051,2588,1351,68,969,1696,1800,1741,1042,1067,308,924,122,419
942,465,4766,444,2182,2942,1520,76,1076,1670,1733,1750,1078,1153,358,903,147,415
657,315,2953,335,1905,2441,1344,79,842,1474,1709,1587,895,1003,299,865,160,379
579,310,2655,313,1627,2066,1164,66,930,1294,1486,1484,752,902,266,717,177,343
440,255,1859,248,1262,1461,798,44,578,889,956,1079,525,528,181,531,95,238
528,321,2066,264,1450,1620,931,54,650,1187,1264,1207,661,713,246,641,120,323
730,394,3586,359,2771,2429,1400,86,939,1685,1740,1600,1003,1164,329,848,137,439
694,421,3394,397,2099,2409,1435,74,1012,1754,1640,1677,1007,1026,373,879,144,399
672,418,3211,368,2301,2615,1289,70,908,2088,1786,1793,1035,1147,408,931,152,366
609,317,2963,390,2474,2532,1320,68,824,1287,1513,1585,845,924,359,854,150,353
565,335,2653,294,2632,2136,1179,58,684,1250,1301,1308,779,852,290,804,218,341
470,285,1739,299,1723,1540,826,58,587,921,989,1097,547,550,203,669,198,238
519,286,1926,249,1802,1747,937,69,656,1035,1197,1324,634,621,243,708,205,269
636,404,2928,340,2224,2412,1393,72,910,1647,1738,1849,972,971,392,883,222,429
683,372,2850,355,2172,2544,1290,74,896,1585,1847,1734,966,1517,667,1047,301,390
680,375,2834,317,2249,2379,1242,65,847,1578,1813,1711,982,1213,519,850,173,387
731,378,2509,341,1760,2068,1088,61,764,1274,1409,1283,762,810,363,772,143,321
486,287,1904,283,1386,1604,915,47,615,970,1120,1030,597,592,263,562,158,236
610,294,1501,200,1219,1412,734,57,526,755,916,924,526,474,265,546,117,226
642,333,1597,300,1178,1535,820,51,581,814,1037,1059,602,605,225,609,109,262
795,373,2489,359,1780,2142,1420,75,964,1330,1621,1490,883,881,371,918,142,377
651,390,2748,352,1951,2528,1363,76,871,1470,1864,1648,935,992,430,858,131,385
640,410,2795,353,1887,2392,1341,84,852,1595,1749,1598,913,977,382,876,135,373
621,396,2823,402,1801,2284,1275,62,831,1547,1747,1545,906,1005,408,885,124,375
576,299,2388,355,1580,1878,1126,59,836,1164,1404,1333,757,844,344,734,122,324
406,239,1578,190,1111,1299,874,50,596,875,983,878,595,580,207,623,91,250
490,253,1908,300,1240,1493,898,48,677,971,1171,1062,640,623,306,609,117,281
576,321,2561,355,1816,2015,1135,61,784,1531,1658,1477,920,903,442,719,132,422
624,326,2568,346,1802,2085,1195,66,770,1500,1789,1611,832,992,436,705,104,345
600,311,2391,329,1484,1921,1204,61,758,1229,1642,1371,770,838,319,627,101,316
636,317,2584,300,1922,2241,1315,84,854,1324,1903,1562,858,888,393,705,120,339
691,273,2347,315,1712,1888,1094,54,713,1097,1386,1174,728,641,324,620,70,279
471,278,1714,195,1161,1445,762,65,533,740,1031,957,512,519,271,475,56,224
595,291,1938,252,1373,1551,1041,55,616,960,1178,1143,633,690,249,551,83,250
641,389,2535,324,1760,2212,1564,78,1010,1366,1676,1613,798,975,421,704,123,348
715,355,3041,344,1723,2206,1514,86,849,1418,1691,1602,851,910,325,725,110,290
681,375,2763,324,1698,2044,1301,54,818,1222,1483,1458,783,855,320,663,111,284
667,335,2753,359,1855,1976,1328,58,854,1362,1489,1418,776,794,278,660,71,321
583,302,2395,335,1486,1818,1289,67,722,1341,1316,1282,713,705,258,563,80,376
467,288,1615,347,1036,1260,812,58,608,826,927,955,563,544,209,403,44,219
491,270,1719,274,1163,1559,894,56,558,914,1120,1222,634,705,237,562,57,283
568,346,2602,341,1619,2283,1327,55,792,1293,1656,1507,978,900,324,706,79,369
605,390,2739,393,1736,2100,1224,50,801,1385,1669,1513,787,899,309,759,75,362
616,376,2713,377,1617,2331,1272,44,835,1361,1763,1687,898,938,285,785,88,340
683,269,2486,384,1747,2254,1208,56,841,1251,1579,1565,776,762,301,741,76,349
528,264,2211,277,1466,1899,1131,57,778,1112,1532,1447,683,865,257,518,69,289
456,193,1510,239,1044,1206,825,43,505,828,866,821,495,499,197,444,75,238
462,248,1751,264,1224,1398,878,61,625,992,1070,1010,604,592,197,513,102,219
525,253,2388,357,1659,1989,1196,62,845,1235,1392,1358,774,944,307,656,116,343
578,337,2671,359,1554,1973,1321,64,824,1283,1359,1250,829,779,321,607,91,285
560,282,2544,315,1612,2082,1283,47,873,1200,1314,1448,814,723,297,674,64,342
532,254,2373,304,1525,1908,1152,60,790,1145,1283,1304,690,597,327,572,63,291
536,313,2001,243,1224,1578,1109,50,652,1018,1000,1154,598,521,325,645,51,281
462,230,1444,208,822,1184,874,37,532,723,773,799,399,380,164,344,27,206
553,271,1548,214,996,1219,836,57,515,808,1057,833,474,476,187,382,179,217
562,317,1976,262,1288,1675,1018,49,642,1035,1154,1110,587,569,250,510,118,294
637,332,2394,318,1719,1936,1300,67,908,1082,1265,1373,686,628,300,753,88,274
615,296,2288,353,1401,1758,1074,60,702,1038,1199,1222,661,628,268,627,74,268
609,351,2182,257,1338,1662,1115,39,733,978,1042,1158,607,586,248,530,84,272
587,286,1876,250,1105,1285,930,53,620,831,925,1037,551,517,184,466,49,251
394,217,1431,190,800,962,735,62,576,674,725,672,439,340,192,282,51,155
411,234,1627,199,869,1219,848,47,557,710,896,907,570,480,239,407,29,189
532,290,2286,355,1314,1636,1175,80,746,1017,1095,1188,701,607,228,508,53,257
671,276,2328,323,1447,1625,1150,71,718,922,985,1133,643,551,203,515,55,271
516,271,2252,242,1175,1487,1021,59,650,1035,1004,1146,625,521,252,441,65,244
552,284,2157,261,1267,1508,1107,68,627,971,1003,1085,587,548,216,452,63,235
428,239,1901,218,1062,1310,939,45,621,857,869,991,532,476,215,411,64,169
349,169,1319,188,791,984,692,39,411,644,667,707,389,351,170,315,36,184
430,217,1468,221,870,1215,797,63,481,735,751,879,470,367,179,355,40,181
512,283,2238,309,1314,1750,1156,68,584,1084,1165,1228,661,590,261,510,55,228
540,338,2396,276,1427,1825,1362,79,692,1030,1237,1230,731,660,282,560,60,232
536,293,2242,297,1337,1631,1314,52,662,1021,1170,1139,674,604,238,489,66,253
514,237,2141,224,1343,1605,1147,39,707,976,1052,1071,641,610,219,461,57,261
418,256,1882,220,1227,1477,915,54,654,907,897,911,529,481,210,427,48,234
371,236,1301,199,855,1025,685,52,499,658,705,744,371,389,155,293,38,163
405,216,1387,202,903,1118,746,47,509,738,683,735,440,419,183,307,39,177
524,300,2104,292,1247,1575,1055,68,672,1046,1021,1103,623,589,251,521,59,203
504,265,2104,249,1245,1570,947,58,656,1028,1015,1025,570,583,225,522,39,250
543,281,2101,272,1287,1456,995,55,732,1113,860,1018,589,489,216,413,67,221
547,238,2028,286,1084,1411,1137,62,661,950,893,960,574,485,230,372,44,212
480,254,1781,228,999,1231,888,53,649,766,766,876,459,410,176,335,42,222
346,161,1215,232,713,937,663,29,508,606,568,657,368,347,147,275,37,177
388,225,1357,181,796,988,679,36,453,646,673,697,413,370,169,377,36,183
516,301,1968,248,1121,1478,1034,56,695,993,991,979,611,477,210,502,64,291
552,296,2096,252,1312,1485,1080,71,700,994,973,1028,590,493,271,528,42,264
504,254,2004,297,1210,1457,1104,146,568,878,945,1081,568,504,236,398,48,256
502,244,1846,216,1119,1285,910,94,652,785,788,946,587,467,209,444,50,233
489,252,1607,186,984,1256,860,60,591,732,723,888,457,369,178,804,34,217
338,183,1116,176,711,823,668,38,517,554,637,604,374,317,124,344,44,136
356,193,1278,188,755,913,701,48,432,604,587,731,319,314,139,318,27,168
445,278,1864,213,1160,1341,996,67,633,892,836,909,554,404,164,417,46,227
462,296,1964,275,1202,1352,1001,74,642,955,831,1006,483,502,203,427,53,192
515,238,1841,276,1319,1822,1216,70,707,923,792,903,502,442,193,442,47,241
443,218,1566,212,1028,1154,941,46,614,726,681,748,408,365,199,401,50,176
417,246,1533,221,922,1089,906,47,1107,704,643,672,489,319,150,333,31,169
351,170,1159,181,772,850,728,41,464,527,558,617,327,315,116,210,40,116
335,172,1189,172,929,947,725,45,534,592,539,653,327,327,139,288,47,161
871,278,1828,279,1214,1342,1038,44,809,883,867,968,519,468,187,427,63,197
463,302,1916,227,1053,1301,1006,67,1203,883,838,951,525,454,161,384,53,196
448,287,1836,233,1126,1328,1048,49,696,821,855,1035,466,485,149,400,52,236
524,269,2062,235,1211,1232,973,48,704,843,764,820,472,413,172,393,52,218
447,214,1716,176,1072,1228,854,55,694,754,706,833,464,371,134,343,43,166
556,256,1173,160,734,876,658,51,477,544,496,565,303,313,97,262,27,116
337,216,1226,176,996,891,677,56,507,677,579,630,387,335,114,274,53,133
511,283,1846,254,1113,1314,1071,81,654,819,969,859,450,432,180,360,66,219
496,262,1910,285,1146,1340,1010,58,729,812,844,905,504,506,171,404,69,240
481,256,1934,256,1233,1373,1044,60,669,889,831,949,466,499,207,406,84,234
459,260,1908,198,1194,1309,1019,90,711,885,846,882,444,437,164,357,65,186
426,253,1677,232,1023,1171,825,59,613,778,706,776,399,394,128,301,38,173
336,177,1182,178,704,804,622,45,479,570,532,584,329,293,97,258,23,132
375,205,1342,207,773,1025,651,42,531,596,771,634,407,324,139,278,41,141
465,275,1853,269,1090,1372,985,69,714,896,835,945,498,415,178,454,46,252
443,324,1994,255,1219,1409,1063,80,809,913,893,923,519,516,220,450,45,233
459,280,2028,227,1089,1392,968,73,734,816,862,899,521,435,221,457,59,264
517,259,1968,251,1066,1308,954,64,692,767,816,801,535,448,177,444,51,209
464,284,1726,199,880,1192,859,62,621,692,652,745,443,321,148,400,47,191
529,234,1298,172,732,946,706,60,520,543,589,567,351,317,140,346,40,160
394,259,1407,160,687,997,903,58,542,670,620,637,350,349,137,301,24,157
488,240,2298,249,986,1371,1211,90,733,985,848,866,462,446,241,466,64,218
502,294,2313,258,1095,1401,1156,74,837,865,827,924,503,519,191,525,32,241
453,326,1955,243,1091,1433,1148,81,747,852,819,937,529,522,172,416,37,173
479,232,1865,275,1092,1304,957,75,820,882,851,961,513,466,212,466,44,224
452,243,1805,237,1013,1178,885,58,745,731,699,776,433,378,145,412,33,182
327,217,1201,174,756,872,609,50,601,620,504,590,336,312,110,362,25,142
370,217,1794,201,772,1003,786,59,694,572,569,705,363,340,147,386,18,149
524,298,2076,243,1099,1282,916,64,874,937,901,890,507,459,199,328,27,207
408,257,2262,265,1084,1396,943,67,930,904,901,936,570,497,203,421,40,223
454,288,2116,292,1136,1455,953,95,809,926,874,917,539,485,205,420,38,206
483,283,1938,248,1043,1383,947,87,825,842,790,830,592,439,178,479,40,187
440,210,1721,236,934,1137,796,72,676,746,725,721,408,424,150,447,38,164
322,160,1236,176,708,935,630,59,528,614,605,541,329,355,157,237,43,121
346,191,1357,192,698,938,609,45,476,553,579,565,351,333,115,274,25,126
442,278,2029,259,1002,1393,960,74,826,908,861,801,503,447,213,383,26,221
479,268,1958,311,1061,1545,901,57,858,875,826,852,514,474,199,416,47,181
427,256,2143,268,1024,1481,928,65,823,944,752,921,487,462,177,389,28,174
479,231,1822,237,950,1208,839,69,638,741,654,796,418,386,146,386,45,145
431,235,1775,259,927,1194,787,75,669,722,676,793,383,412,177,372,50,169
334,179,1214,197,733,918,769,45,569,601,585,645,309,376,142,307,31,148
383,251,1275,181,845,1007,904,83,705,728,627,696,396,411,161,353,23,179
494,290,2001,258,1106,1502,1023,85,825,922,959,991,470,490,188,471,43,239
548,310,2225,280,1140,1504,1057,85,914,1048,1021,1019,520,547,185,540,40,193
493,293,2095,270,1146,1491,1074,83,1021,1043,960,972,540,497,188,655,39,199
513,312,2260,258,1210,1537,1096,80,863,1026,1034,1048,541,550,211,426,48,224
619,269,1951,210,983,1249,888,70,702,796,737,893,558,409,178,357,43,162
514,229,1156,204,779,962,624,63,618,612,626,579,353,347,129,252,29,147
372,217,1332,220,839,1050,664,68,745,642,719,671,419,423,161,287,23,111
462,277,2192,291,1380,1522,1033,91,926,1034,1083,980,640,525,201,353,40,198
565,321,2406,274,1325,1632,1054,96,980,1104,1220,1037,604,588,266,477,46,239
507,259,2478,269,1608,1635,1060,80,977,1277,1126,1139,598,536,248,501,46,259
607,288,2458,264,1455,1648,1061,98,1026,1213,1087,977,560,561,267,583,55,212
492,274,2156,250,1307,1414,933,106,765,891,938,993,491,519,202,726,42,186
377,185,1385,215,963,917,696,72,717,626,659,671,364,366,180,430,28,137
443,285,1603,182,980,999,773,84,589,720,702,712,419,422,154,383,50,165
519,278,2258,265,1821,2053,977,75,735,1729,1420,1351,740,757,398,2969,164,361
548,344,2869,388,1983,2189,1193,107,963,1608,1403,1464,796,738,490,1776,119,276
501,356,2869,421,1430,1829,1154,118,980,1350,1363,1293,630,693,290,567,59,274
610,329,2954,356,1384,1657,1092,90,948,1282,1215,1248,633,769,244,563,55,216
450,287,2483,298,1223,1484,979,75,745,999,1039,981,524,562,171,463,56,197
365,229,1712,230,994,983,732,49,553,781,811,768,429,420,169,371,36,148
466,729,2016,294,984,1541,887,58,692,809,873,956,481,479,195,433,24,161
537,348,3383,332,1454,1906,1221,73,906,1155,1371,1216,654,751,269,526,50,233
573,371,3383,347,1697,1926,1376,121,921,1307,1358,1471,683,778,309,507,66,262
630,332,3390,418,1482,2868,1369,106,966,1195,1364,1425,697,762,446,553,76,302
529,319,3339,339,1466,2175,1282,78,944,1270,1338,1310,608,765,381,616,62,305
503,287,2574,281,1295,1689,1088,76,896,1023,1064,1159,546,602,261,501,37,214
427,197,1784,228,828,1062,773,55,616,723,842,900,423,421,293,319,29,173
411,299,2263,277,1097,1306,926,67,760,920,1080,940,570,636,286,443,52,184
539,330,3302,340,1535,2127,1214,96,977,1370,1620,1507,741,859,395,622,61,311
562,375,3352,348,1634,2237,1330,95,1061,1377,1607,1611,812,847,482,671,86,348
572,376,3198,386,1696,2148,1361,58,1032,1404,1523,1451,808,816,390,661,65,367
607,404,3106,378,1772,1995,1391,107,1069,1258,1419,1435,703,768,381,665,75,310
526,301,2608,280,1603,1871,1118,86,879,1274,1193,1173,636,630,262,589,76,232
414,227,1825,245,1548,1288,850,56,712,1094,933,961,502,496,208,481,50,187
529,285,2047,318,2062,1616,992,81,860,1206,1147,1126,525,653,232,490,60,234
652,401,3341,421,2650,2419,1355,86,1010,1495,1665,1676,708,838,424,703,86,345
719,416,3344,432,2533,2277,1376,95,1094,1365,1565,1738,719,892,344,752,106,362
636,379,3287,419,2343,2236,1388,111,1112,1578,1662,1618,808,881,409,792,122,375
580,365,3092,434,2329,2256,1295,94,1057,1414,1601,1581,763,799,353,839,151,380
541,278,2607,381,2079,2024,1079,82,938,1123,1371,1402,659,689,269,794,161,308
420,230,1864,290,1709,1297,829,65,617,765,907,903,496,470,218,565,97,237
481,269,2286,385,1757,1541,918,57,711,1056,1082,1127,589,532,257,617,85,274
613,400,3163,442,2161,2142,1377,87,977,1439,1377,1481,842,795,409,992,132,400
648,376,3128,439,2104,2131,1328,66,952,1433,1486,1569,752,811,388,1000,99,392
553,363,3284,386,2413,2161,1284,77,976,1355,1563,1562,758,882,344,1021,119,410
567,290,3158,390,2221,2216,1256,74,967,1384,1627,1674,819,905,317,818,135,353
505,264,2723,350,1993,1776,1132,74,774,1188,1427,1350,711,779,353,819,101,317
431,218,2153,278,1568,1246,902,56,578,751,863,972,436,546,264,489,58,253
432,249,2094,257,1805,1446,923,48,653,912,1067,1070,511,611,260,494,68,248
599,311,3502,376,2995,2294,1303,70,878,1317,1515,1564,777,871,315,701,99,364
635,432,3399,423,3283,2336,1459,90,1000,1445,1536,1730,766,864,302,853,87,401
681,414,3608,400,1984,2339,1427,101,956,1559,1675,1833,879,917,369,894,103,489
581,280,3276,412,1677,2168,1307,98,1012,1472,1458,1550,756,856,314,801,75,398
567,269,2774,372,1431,1826,1207,70,907,1129,1267,1235,622,704,230,607,63,302
447,215,1927,216,1050,1357,884,59,703,858,834,872,449,522,202,438,51,242
481,258,2173,288,1188,1477,1003,65,747,1039,1101,1056,565,582,243,516,66,250
578,354,3189,372,1544,2137,1407,112,1080,1388,1476,1500,737,781,316,684,91,343
631,388,3514,356,1729,2379,1451,93,1099,1571,1588,1547,805,966,350,757,89,389
663,418,3463,408,1886,2340,1320,85,1146,1534,1607,1518,856,922,362,670,63,377
635,389,3306,442,1692,2315,1456,105,1114,1478,1640,1690,892,984,347,760,78,364
633,322,2893,354,1461,2133,1202,73,961,1227,1373,1388,784,811,294,557,72,317
603,264,1928,297,1145,1444,898,66,762,876,924,964,560,533,207,438,67,231
597,371,2298,366,1222,1719,1124,83,841,1079,1085,1159,647,603,241,562,53,265
659,394,3242,474,1857,2337,1459,107,1071,1492,1671,1654,887,925,317,699,108,453
617,411,3331,405,1751,2325,1395,111,1152,1575,1791,1824,930,1017,327,734,113,409
895,531,3452,396,1813,2213,1975,89,1093,1699,1748,2833,979,1077,330,683,126,537
758,371,3233,386,1983,2314,1969,77,1007,1629,1811,1611,903,1070,326,682,104,391
608,293,2662,329,1574,1795,1451,60,776,1291,1395,1301,684,819,341,590,100,303
424,267,1855,287,1035,1220,988,60,524,845,1002,895,486,581,189,476,73,202
464,262,2129,274,1237,1418,1001,59,592,941,1055,1001,628,623,192,792,68,293
682,374,3182,361,1810,2319,1424,104,875,1586,1810,1607,809,1125,355,776,82,395
601,357,3169,403,1823,2245,1402,127,975,1807,1843,1794,872,1005,364,725,78,340
649,368,3072,379,1854,2225,1374,87,949,1605,1664,1814,859,906,400,727,87,376
567,302,2765,329,1542,1960,1292,88,897,1376,1395,1318,821,869,391,624,83,426
567,291,2295,322,1353,1732,1080,74,805,1260,1172,1248,699,714,232,517,63,326
412,242,1863,284,1112,1316,874,66,604,918,966,860,507,560,228,381,48,248
527,265,2108,390,1149,1572,956,71,836,1013,1110,1158,623,754,289,461,56,294
690,363,3113,516,1730,2207,1371,102,1067,1635,1918,1665,914,1007,466,736,81,534
671,382,3340,393,2119,2270,1391,121,1124,1811,1923,1735,902,1224,489,771,97,631
610,380,3869,457,1768,2291,1505,102,1119,1574,1817,1702,873,955,399,729,94,672
597,349,3397,389,1647,2077,1381,104,1129,1462,1709,1563,884,975,364,702,77,398
571,308,2792,384,1457,1696,1295,90,966,1242,1405,1308,794,701,314,616,62,372
480,320,1777,293,1007,1222,876,62,688,770,859,901,515,475,175,467,50,220
473,289,1973,352,1117,1393,963,100,755,937,1139,1146,700,701,264,499,63,306
615,367,3133,397,1490,2100,1258,88,993,1426,1671,1641,834,804,347,650,70,347
646,405,3447,388,1767,2305,1395,96,1320,1683,1894,1829,968,1063,304,770,103,390
728,408,3560,383,1736,2252,1401,92,1302,1778,1855,1775,902,1072,322,714,76,360
672,355,3170,394,2142,2181,1357,90,1223,1467,1765,1731,909,989,325,675,73,349
